,Accuracy,Precision,Recall,F1 Score
student,0.6744554455445545,0.6859159912167073,0.6744554455445545,0.6740512426367617
teacher,0.6720792079207921,0.6756129735921441,0.672079207920792,0.6677400160571445
distilled_student,0.617980198019802,0.649718157205729,0.6179801980198021,0.6149726830962908
